 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Ano do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"350960 CAMPO LIMPO PAULISTA";221;184;218;197;238;207;258;274;239;252;265;2553
"350970 CAMPOS DO JORDAO";296;263;267;244;197;202;226;247;247;240;262;2691
"350980 CAMPOS NOVOS PAULISTA";5;7;9;11;11;7;10;13;6;10;6;95
"350990 CANANEIA";27;18;9;23;26;21;12;33;37;22;31;259
"350995 CANAS";5;4;7;7;6;5;4;6;3;4;3;54
"351000 CANDIDO MOTA";95;107;95;118;109;77;81;109;95;119;148;1153
"351010 CANDIDO RODRIGUES";4;-;3;3;3;4;7;6;3;7;5;45
"351015 CANITAR";4;5;3;6;2;6;6;3;4;6;7;52
"351020 CAPAO BONITO";218;222;259;250;268;229;249;226;262;242;300;2725
"351030 CAPELA DO ALTO";38;35;29;33;32;35;31;50;51;46;58;438
"351040 CAPIVARI";285;256;221;263;243;197;223;292;248;215;256;2699
"351050 CARAGUATATUBA";373;373;342;406;450;447;448;475;452;531;732;5029
"351060 CARAPICUIBA";966;971;935;1041;1071;1035;1012;1030;1074;1105;1190;11430
"351070 CARDOSO";32;29;39;22;38;20;21;35;32;19;19;306
"351080 CASA BRANCA";157;152;150;142;150;163;143;144;151;167;177;1696
"351090 CASSIA DOS COQUEIROS";4;2;6;2;11;11;4;8;4;7;8;67
"351100 CASTILHO";29;36;37;43;51;56;69;69;75;44;69;578
"351110 CATANDUVA";1145;1162;1136;1167;1122;1202;1033;1090;1039;1157;1403;12656
"351120 CATIGUA";12;7;6;8;16;6;11;11;13;12;12;114
"351130 CEDRAL";18;17;17;13;23;15;16;22;27;21;23;212
"351140 CERQUEIRA CESAR";79;106;79;87;99;73;77;78;67;53;54;852
"351150 CERQUILHO";100;96;93;127;96;114;110;131;115;112;126;1220
"351160 CESARIO LANGE";51;52;42;48;63;64;58;49;70;71;81;649
"351170 CHARQUEADA";43;55;33;42;38;32;39;40;31;41;32;426
"351190 CLEMENTINA";15;14;13;11;14;18;23;18;15;21;11;173
"351200 COLINA";27;31;48;46;40;49;42;41;33;48;43;448
"351210 COLOMBIA";14;13;14;17;9;19;11;12;13;16;12;150
"351220 CONCHAL";62;71;69;73;60;57;57;72;74;75;89;759
"351230 CONCHAS";75;83;67;95;72;78;67;82;62;64;62;807
"351240 CORDEIROPOLIS";28;28;45;31;38;50;36;42;31;45;49;423
"351250 COROADOS";5;2;6;5;2;8;7;5;7;7;9;63
"351260 CORONEL MACEDO";1;3;5;6;12;4;1;3;12;5;7;59
"351270 CORUMBATAI";3;5;4;2;7;5;2;7;3;8;8;54
"351280 COSMOPOLIS";110;104;138;179;201;166;142;154;178;161;231;1764
"351290 COSMORAMA";23;16;21;17;20;11;14;23;9;18;18;190
"351300 COTIA";819;831;793;819;900;964;1015;1022;1100;1111;1386;10760
"351310 CRAVINHOS";54;53;69;46;65;47;75;66;86;69;96;726
"351320 CRISTAIS PAULISTA";12;16;11;13;12;8;10;7;18;7;15;129
"351330 CRUZALIA";6;5;5;2;4;5;5;6;2;1;1;42
"351340 CRUZEIRO";397;399;412;471;346;356;336;410;387;439;447;4400
"351350 CUBATAO";417;411;409;427;431;414;393;324;472;436;612;4746
"351360 CUNHA";101;87;79;89;79;89;80;76;80;95;90;945
"351370 DESCALVADO";119;128;117;147;142;126;111;142;147;150;131;1460
"351380 DIADEMA";1354;1266;1241;1321;1276;1252;1353;1377;1365;1193;1557;14555
"351385 DIRCE REIS";1;-;1;3;3;7;1;-;5;2;1;24
"351390 DIVINOLANDIA";69;75;76;67;60;78;57;59;68;68;80;757
"351400 DOBRADA";6;3;5;6;-;6;8;7;6;6;6;59
"351410 DOIS CORREGOS";97;107;116;87;114;95;99;101;102;94;87;1099
"351420 DOLCINOPOLIS";1;1;2;1;3;1;3;4;7;5;3;31
"351430 DOURADO";29;18;12;19;31;24;35;32;32;29;38;299
"351440 DRACENA";343;320;380;321;329;372;363;334;328;375;358;3823
"351450 DUARTINA";80;64;82;56;53;49;65;72;49;80;93;743
"351460 DUMONT";13;14;11;12;6;17;8;10;8;16;6;121
"351470 ECHAPORA";15;16;13;14;16;25;15;11;12;19;10;166
"351480 ELDORADO";36;38;21;36;38;27;13;18;33;32;40;332
"351490 ELIAS FAUSTO";25;20;28;22;18;20;18;21;16;10;34;232
"351492 ELISIARIO";2;2;5;5;1;4;1;7;6;8;7;48
"351495 EMBAUBA";4;2;4;7;2;-;3;8;5;7;7;49
"351500 EMBU DAS ARTES";464;505;560;609;575;557;587;503;562;571;727;6220
"351510 EMBU-GUACU";153;198;179;180;201;226;246;245;242;243;279;2392
"351512 EMILIANOPOLIS";2;4;1;1;2;1;2;-;3;2;3;21
"351515 ENGENHEIRO COELHO";16;14;16;14;25;26;17;29;22;26;29;234
"351518 ESPIRITO SANTO DO PINHAL";236;247;218;225;221;226;228;252;273;222;256;2604
"351519 ESPIRITO SANTO DO TURVO";6;4;3;3;4;1;2;5;6;10;6;50
"351520 ESTRELA D'OESTE";5;14;14;16;16;18;18;8;22;23;13;167
"351530 ESTRELA DO NORTE";1;7;2;3;2;2;4;6;1;4;3;35
"351535 EUCLIDES DA CUNHA PAULISTA";11;9;10;9;9;7;18;12;13;9;7;114
"351540 FARTURA";56;63;66;57;80;51;85;73;73;74;71;749
"351550 FERNANDOPOLIS";394;457;468;423;467;481;462;515;513;555;635;5370
"351560 FERNANDO PRESTES";8;13;10;6;14;10;19;14;13;9;15;131
"351565 FERNAO";1;2;3;2;2;-;-;2;2;3;5;22
"351570 FERRAZ DE VASCONCELOS";590;579;440;455;416;504;512;534;593;596;756;5975
"351580 FLORA RICA";3;6;1;5;2;3;8;2;2;1;2;35
"351590 FLOREAL";3;2;5;5;3;1;8;4;4;3;2;40
"351600 FLORIDA PAULISTA";20;26;26;28;30;22;36;26;26;21;43;304
"351610 FLORINIA";10;11;5;7;5;3;8;5;7;8;15;84
"351620 FRANCA";1504;1650;1497;1674;1668;1687;1774;1786;1689;1830;2053;18812
"351630 FRANCISCO MORATO";582;587;506;490;499;526;562;503;523;531;650;5959
"351640 FRANCO DA ROCHA";545;588;693;666;650;704;780;800;774;836;1145;8181
"351650 GABRIEL MONTEIRO";3;5;5;1;4;2;3;1;4;-;-;28
"351660 GALIA";22;26;30;32;27;23;15;24;24;18;20;261
"351670 GARCA";204;216;221;200;195;254;229;243;239;197;187;2385
"351680 GASTAO VIDIGAL";7;5;3;3;3;9;9;5;5;8;7;64
"351685 GAVIAO PEIXOTO";8;3;9;6;6;6;12;8;9;12;16;95
"351690 GENERAL SALGADO";41;34;36;36;29;33;30;25;41;24;30;359
"351700 GETULINA";29;39;23;16;17;26;27;27;27;20;21;272
"351710 GLICERIO";5;4;6;2;3;3;5;8;6;9;4;55
"351720 GUAICARA";5;9;9;6;2;3;2;4;5;2;5;52
"351730 GUAIMBE";9;16;13;16;13;13;11;16;9;8;19;143
"351740 GUAIRA";108;123;115;111;118;95;122;109;106;120;124;1251
"351750 GUAPIACU";35;28;37;31;23;30;27;28;32;45;32;348
"351760 GUAPIARA";73;62;60;47;64;43;79;70;91;79;91;759
"351770 GUARA";39;53;31;32;36;30;43;48;37;57;53;459
"351780 GUARACAI";25;23;16;16;15;19;23;21;18;19;27;222
"351790 GUARACI";13;13;22;18;20;19;21;22;26;23;36;233
"351800 GUARANI D'OESTE";2;6;-;2;3;2;2;3;3;4;3;30
"351810 GUARANTA";9;14;9;10;10;6;8;13;7;10;16;112
"351820 GUARARAPES";124;129;116;87;107;110;109;93;91;103;104;1173
"351830 GUARAREMA";91;81;88;86;73;87;79;61;75;89;78;888
"351840 GUARATINGUETA";666;698;691;636;701;801;753;670;664;628;661;7569
"351850 GUAREI";29;27;33;12;23;34;39;22;33;46;30;328
"351860 GUARIBA";65;88;96;79;111;129;112;129;124;141;133;1207
"351870 GUARUJA";1316;1183;1229;1265;1308;1341;1513;1309;1406;1364;1891;15125
"351880 GUARULHOS";4540;4705;4778;4752;4970;4914;5078;5098;5189;5007;6406;55437
"351885 GUATAPARA";7;14;14;11;13;24;10;12;23;23;10;161
"351890 GUZOLANDIA";9;8;2;4;11;6;7;2;5;5;8;67
"351900 HERCULANDIA";22;27;21;28;24;24;22;35;38;29;36;306
"351905 HOLAMBRA";12;13;14;20;25;32;26;30;28;23;26;249
"351907 HORTOLANDIA";387;432;461;430;541;541;594;598;587;630;722;5923
"351910 IACANGA";30;45;35;28;46;28;36;41;31;29;33;382
"351920 IACRI";15;11;4;18;7;6;6;10;8;7;15;107
"351925 IARAS";2;4;11;4;7;6;11;5;3;5;9;67
"351930 IBATE";71;59;71;88;88;74;84;83;64;86;69;837
"351940 IBIRA";29;26;15;26;29;22;28;38;18;31;15;277
"351950 IBIRAREMA";7;9;7;5;6;6;7;7;11;7;10;82
"351960 IBITINGA";298;255;288;283;242;255;248;249;287;279;312;2996
"351970 IBIUNA";182;199;206;184;202;227;233;218;247;187;245;2330
"351980 ICEM";15;15;13;16;24;15;16;10;14;19;15;172
"351990 IEPE";26;23;25;25;16;15;24;30;23;36;34;277
"352000 IGARACU DO TIETE";32;35;22;29;27;24;19;21;19;20;26;274
"352010 IGARAPAVA";87;94;93;97;88;121;102;75;82;70;100;1009
"352020 IGARATA";14;23;23;21;25;18;18;15;27;24;26;234
"352030 IGUAPE";81;79;78;87;91;95;75;112;131;108;103;1040
"352040 ILHABELA";68;61;79;76;80;65;71;71;64;83;77;795
"352042 ILHA COMPRIDA";31;34;37;32;46;58;47;43;33;58;29;448
"352044 ILHA SOLTEIRA";115;157;152;161;146;137;169;166;183;186;239;1811
"352050 INDAIATUBA";731;789;668;846;786;829;797;861;835;866;1193;9201
"352060 INDIANA";7;6;5;9;6;4;10;3;5;6;3;64
"352070 INDIAPORA";9;13;16;20;16;11;19;15;16;10;16;161
"352080 INUBIA PAULISTA";5;3;6;4;6;1;2;5;2;1;6;41
"352090 IPAUSSU";51;50;58;56;54;44;52;34;39;52;65;555
"352100 IPERO";25;51;47;40;53;37;50;54;43;55;53;508
"352110 IPEUNA";8;8;6;4;16;10;14;14;21;10;13;124
"352115 IPIGUA";9;9;9;3;3;7;12;7;7;6;5;77
"352120 IPORANGA";9;14;10;9;11;14;10;11;7;6;12;113
"352130 IPUA";38;28;15;24;23;25;29;40;33;36;40;331
"352140 IRACEMAPOLIS";22;24;22;31;34;18;30;24;32;45;32;314
"352150 IRAPUA";19;7;13;12;12;10;16;14;19;18;16;156
