ano,id_municipio_7digitos,pib
2014,3503158,23664105
2015,3503158,24320969
2016,3503158,27601776
2017,3503158,29846463
2018,3503158,30663391
2019,3503158,34001212
2010,3503208,5474437459
2011,3503208,6116560089
2012,3503208,6928528345
2013,3503208,7531613778
2014,3503208,7937076581
2015,3503208,8337723361
2016,3503208,9012929739
2017,3503208,9289707228
2018,3503208,9413147394
2019,3503208,10026980978
2010,3503307,3211625072
2011,3503307,3671007901
2012,3503307,4037143491
2013,3503307,4211377372
2014,3503307,4371347129
2015,3503307,4565385010
2016,3503307,5014670965
2017,3503307,5381996672
2018,3503307,5560316287
2019,3503307,5933882448
2010,3503356,29668037
2011,3503356,31436310
2012,3503356,35517046
2013,3503356,32972200
2014,3503356,34627229
2015,3503356,42963535
2016,3503356,53055459
2017,3503356,48214589
2018,3503356,51857710
2019,3503356,42320857
2010,3503406,124566455
2011,3503406,120660679
2012,3503406,129932083
2013,3503406,139485837
2014,3503406,136507395
2015,3503406,137092915
2016,3503406,174405571
2017,3503406,212988913
2018,3503406,206165095
2019,3503406,214908482
2010,3503505,23168753
2011,3503505,25370019
2012,3503505,29683457
2013,3503505,34898759
2014,3503505,36538522
2015,3503505,36969464
2016,3503505,39720322
2017,3503505,43617429
2018,3503505,43091919
2019,3503505,46310706
2010,3503604,70979808
2011,3503604,81176361
2012,3503604,103648510
2013,3503604,112669943
2014,3503604,111755572
2015,3503604,112788830
2016,3503604,126452595
2017,3503604,136809241
2018,3503604,143060759
2019,3503604,141873963
2010,3503703,439155481
2011,3503703,489098906
2012,3503703,529137112
2013,3503703,472465864
2014,3503703,571813838
2015,3503703,584094987
2016,3503703,653298761
2017,3503703,770043863
2018,3503703,566621961
2019,3503703,743966147
2010,3503802,572380241
2011,3503802,662126497
2012,3503802,713653408
2013,3503802,799657513
2014,3503802,966725208
2015,3503802,930383338
2016,3503802,1044279417
2017,3503802,1099912275
2018,3503802,1178214774
2019,3503802,1270688997
2010,3503901,1988477326
2011,3503901,2158894588
2012,3503901,2354346507
2013,3503901,2889793595
2014,3503901,3778478211
2015,3503901,4808031090
2016,3503901,4829482174
2017,3503901,5415782377
2018,3503901,6152756655
2019,3503901,6482836037
2010,3503950,14972668
2011,3503950,19497671
2012,3503950,21817768
2013,3503950,20430396
2014,3503950,23168555
2015,3503950,20693052
2016,3503950,31946967
2017,3503950,33421330
2018,3503950,35190071
2019,3503950,33304962
2010,3504008,1666866684
2011,3504008,1902294279
2012,3504008,2242027446
2013,3504008,2463836013
2014,3504008,2706965415
2015,3504008,2710980634
2016,3504008,3065889240
2017,3504008,3323418670
2018,3504008,3360765867
2019,3504008,3541751109
2010,3504107,3709727440
2011,3504107,4285475741
2012,3504107,4434423036
2013,3504107,4827702267
2014,3504107,5316825583
2015,3504107,5559804672
2016,3504107,5583469773
2017,3504107,6466468200
2018,3504107,7139720098
2019,3504107,6937709067
2010,3504206,169054146
2011,3504206,199750691
2012,3504206,221603446
2013,3504206,227908377
2014,3504206,263260829
2015,3504206,270577066
2016,3504206,290767801
2017,3504206,294993261
2018,3504206,303051572
2019,3504206,310562570
2010,3504305,115397413
2011,3504305,152772130
2012,3504305,142391895
2013,3504305,223692996
2014,3504305,273808384
2015,3504305,263410581
2016,3504305,281158298
2017,3504305,266052337
2018,3504305,271748508
2019,3504305,294317391
2010,3504404,148440272
2011,3504404,154237485
2012,3504404,167753508
2013,3504404,190167673
2014,3504404,182228634
2015,3504404,295767794
2016,3504404,229791072
2017,3504404,382119741
2018,3504404,315619882
2019,3504404,320482794
2010,3504503,1237711796
2011,3504503,1463351367
2012,3504503,1710675911
2013,3504503,1955722277
2014,3504503,2068987576
2015,3504503,2180929430
2016,3504503,2546313676
2017,3504503,2639476333
2018,3504503,2737027908
2019,3504503,2746044338
2010,3504602,228059936
2011,3504602,236448079
2012,3504602,241006463
2013,3504602,257679452
2014,3504602,283883411
2015,3504602,316782108
2016,3504602,323290180
2017,3504602,340196100
2018,3504602,352955083
2019,3504602,388833359
2010,3504701,17822893
2011,3504701,22771390
2012,3504701,23395973
2013,3504701,33724733
2014,3504701,40164699
2015,3504701,38839537
2016,3504701,46612892
2017,3504701,55455929
2018,3504701,54951451
2019,3504701,52783674
2010,3504800,112632684
2011,3504800,135382477
2012,3504800,151169552
2013,3504800,154987522
2014,3504800,157510209
2015,3504800,158399050
2016,3504800,189005985
2017,3504800,216961165
2018,3504800,202488835
2019,3504800,216252326
2010,3504909,119562114
2011,3504909,123266803
2012,3504909,145073596
2013,3504909,147825050
2014,3504909,170021006
2015,3504909,197045673
2016,3504909,193500877
2017,3504909,201893904
2018,3504909,180695255
2019,3504909,181837662
2010,3505005,25454494
2011,3505005,29584942
2012,3505005,33422028
2013,3505005,37369815
2014,3505005,69083425
2015,3505005,71519323
2016,3505005,80054220
2017,3505005,43662485
2018,3505005,53201717
2019,3505005,61863960
2010,3505104,63998911
2011,3505104,73961205
2012,3505104,81936745
2013,3505104,93133741
2014,3505104,81468786
2015,3505104,81492990
2016,3505104,109194024
2017,3505104,88827246
2018,3505104,100071445
2019,3505104,113866584
2010,3505203,628396178
2011,3505203,777631982
2012,3505203,796109396
2013,3505203,824568710
2014,3505203,914092144
2015,3505203,1268201932
2016,3505203,1058619999
2017,3505203,1130697700
2018,3505203,1150796180
2019,3505203,1163955922
2010,3505302,911100192
2011,3505302,1097783824
2012,3505302,1013616893
2013,3505302,1072007507
2014,3505302,1133919343
2015,3505302,1290667592
2016,3505302,1317267417
2017,3505302,1305457537
2018,3505302,1089224766
2019,3505302,1139198537
2010,3505351,25657661
2011,3505351,35708061
2012,3505351,34226657
2013,3505351,46611311
2014,3505351,78419760
2015,3505351,70122294
2016,3505351,83849754
2017,3505351,82286700
2018,3505351,81173811
2019,3505351,108718152
2010,3505401,52299329
2011,3505401,58558461
2012,3505401,61573474
2013,3505401,68361735
2014,3505401,70482264
2015,3505401,79663106
2016,3505401,74062059
2017,3505401,86409208
2018,3505401,91020692
2019,3505401,97130810
2010,3505500,2500648292
2011,3505500,2742810463
2012,3505500,3083889967
2013,3505500,3421231831
2014,3505500,3759987367
2015,3505500,3845681495
2016,3505500,4251390071
2017,3505500,4680235770
2018,3505500,4857179883
2019,3505500,4832330747
2010,3505609,251324388
2011,3505609,282505950
2012,3505609,314520532
2013,3505609,358937484
2014,3505609,404450382
2015,3505609,436097438
2016,3505609,485738706
2017,3505609,467961014
2018,3505609,512934541
2019,3505609,500657466
2010,3505708,30018704499
2011,3505708,34462704226
2012,3505708,39566466395
2013,3505708,43865630799
2014,3505708,45571481910
2015,3505708,47761024678
2016,3505708,47063172570
2017,3505708,47741848934
2018,3505708,50562704111
2019,3505708,52820507840
2010,3505807,470286155
2011,3505807,469480467
2012,3505807,580164052
2013,3505807,700845646
2014,3505807,716612264
2015,3505807,939202628
2016,3505807,846212665
2017,3505807,1065663165
2018,3505807,959486948
2019,3505807,1073432056
2010,3505906,1153706590
2011,3505906,1322433818
2012,3505906,1351261165
2013,3505906,1410019689
2014,3505906,1469616432
2015,3505906,1595930985
2016,3505906,1514048597
2017,3505906,1533589955
2018,3505906,1581337821
2019,3505906,1690904623
2010,3506003,8207654550
2011,3506003,9108011379
2012,3506003,9693133046
2013,3506003,11059040324
2014,3506003,11660791166
2015,3506003,12626757618
2016,3506003,13267502614
2017,3506003,13869777602
2018,3506003,14639473697
2019,3506003,15324591287
2010,3506102,1446951175
2011,3506102,1729037826
2012,3506102,1958313889
2013,3506102,2128817408
2014,3506102,2629210220
2015,3506102,2786590827
2016,3506102,3254483196
2017,3506102,3220582682
2018,3506102,3343964594
2019,3506102,3312844749
2010,3506201,105467985
2011,3506201,109893640
2012,3506201,113812657
2013,3506201,99884082
2014,3506201,109516851
2015,3506201,115947741
2016,3506201,148228176
2017,3506201,186127564
2018,3506201,118390451
2019,3506201,120899405
2010,3506300,114787486
2011,3506300,127923117
2012,3506300,148594786
2013,3506300,168924949
2014,3506300,178840739
2015,3506300,188251509
2016,3506300,226257115
2017,3506300,228971741
2018,3506300,198186778
2019,3506300,269153513
2010,3506359,1097980295
2011,3506359,1591052517
2012,3506359,1313178789
2013,3506359,1513769414
2014,3506359,1538381312
2015,3506359,1519702471
2016,3506359,1486902951
2017,3506359,1604987320
2018,3506359,1692656440
2019,3506359,1829393269
2010,3506409,93940965
2011,3506409,102154746
2012,3506409,122305339
2013,3506409,136178089
2014,3506409,149727641
2015,3506409,155759130
2016,3506409,190067328
2017,3506409,182767546
2018,3506409,192744265
2019,3506409,209591495
2010,3506508,1784190933
2011,3506508,2092191970
2012,3506508,2307732187
2013,3506508,2600972887
2014,3506508,2700385012
2015,3506508,3086430399
2016,3506508,3043544348
2017,3506508,3186669532
2018,3506508,3329284506
2019,3506508,3453290846
2010,3506607,319857627
2011,3506607,367856199
2012,3506607,394948889
2013,3506607,562711096
2014,3506607,714022788
2015,3506607,721332693
2016,3506607,760803678
2017,3506607,707866560
2018,3506607,687562972
2019,3506607,758657044
2010,3506706,122151252
2011,3506706,205721513
2012,3506706,231387909
2013,3506706,212658603
2014,3506706,251042087
2015,3506706,223489785
2016,3506706,502986454
2017,3506706,368586079
2018,3506706,306756419
2019,3506706,321190517
2010,3506805,218422882
2011,3506805,290782360
2012,3506805,339522576
2013,3506805,356706196
2014,3506805,376980022
2015,3506805,926846821
2016,3506805,222122668
2017,3506805,225272865
2018,3506805,215905751
2019,3506805,228468029
2010,3506904,112139463
2011,3506904,133077490
2012,3506904,135547988
2013,3506904,161805030
2014,3506904,164784520
2015,3506904,151654360
2016,3506904,152270458
2017,3506904,169056653
2018,3506904,187091171
2019,3506904,181675594
2010,3507001,1570133404
2011,3507001,1839659062
2012,3507001,2214642494
2013,3507001,2264105157
2014,3507001,2597452360
2015,3507001,2697284881
2016,3507001,2455602259
2017,3507001,2679117362
2018,3507001,2378102377
2019,3507001,2942832734
2010,3507100,249973451
2011,3507100,308686267
2012,3507100,347754200
2013,3507100,435241786
2014,3507100,487427923
2015,3507100,489429969
2016,3507100,635977727
2017,3507100,827557784
2018,3507100,908349726
2019,3507100,906989422
2010,3507159,34087121
2011,3507159,42012229
2012,3507159,42019909
2013,3507159,47981422
