 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2018
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"353110 MONGAGUA";30;26;16;23;34;24;24;31;17;24;27;27;303
"353120 MONTE ALEGRE DO SUL";1;-;-;1;1;-;3;-;3;2;-;1;12
"353130 MONTE ALTO";22;16;16;14;20;14;21;22;15;20;12;19;211
"353140 MONTE APRAZIVEL";9;6;6;5;5;9;7;8;5;4;5;4;73
"353150 MONTE AZUL PAULISTA";3;2;4;4;1;3;7;7;6;2;3;5;47
"353160 MONTE CASTELO";1;-;-;-;1;-;1;-;-;2;-;-;5
"353170 MONTEIRO LOBATO";1;-;2;2;-;-;1;1;1;2;1;1;12
"353180 MONTE MOR";4;7;9;7;12;10;8;12;7;10;14;21;121
"353190 MORRO AGUDO";4;3;7;5;10;3;11;6;2;5;7;7;70
"353200 MORUNGABA";6;4;1;1;5;3;3;1;4;3;2;5;38
"353205 MOTUCA";1;1;3;-;1;-;1;1;-;1;-;-;9
"353210 MURUTINGA DO SUL";-;1;-;-;-;2;1;-;1;1;-;1;7
"353215 NANTES";-;1;-;-;-;-;-;-;-;-;1;-;2
"353220 NARANDIBA";2;1;-;-;-;-;-;-;-;-;-;1;4
"353230 NATIVIDADE DA SERRA";-;3;2;2;2;2;2;-;-;2;1;2;18
"353240 NAZARE PAULISTA";6;8;8;7;10;3;6;3;5;8;9;6;79
"353250 NEVES PAULISTA";3;1;4;-;1;2;2;3;3;3;-;1;23
"353260 NHANDEARA";6;1;7;6;8;7;6;10;4;6;4;10;75
"353270 NIPOA";1;1;-;1;1;-;-;2;1;-;-;-;7
"353280 NOVA ALIANCA";1;2;-;-;1;1;-;1;-;1;-;-;7
"353282 NOVA CAMPINA";3;1;3;-;-;1;1;-;1;-;-;-;10
"353284 NOVA CANAA PAULISTA";1;-;-;-;2;-;1;-;-;-;-;-;4
"353286 NOVA CASTILHO";-;-;-;-;-;1;-;-;-;-;-;-;1
"353290 NOVA EUROPA";1;2;5;2;2;4;3;-;3;3;5;2;32
"353300 NOVA GRANADA";5;4;2;1;5;3;4;8;3;2;5;1;43
"353310 NOVA GUATAPORANGA";-;-;-;-;-;1;1;1;-;-;1;-;4
"353320 NOVA INDEPENDENCIA";-;1;-;-;-;1;-;-;-;-;-;1;3
"353325 NOVAIS";1;-;-;-;-;-;1;-;-;-;1;1;4
"353330 NOVA LUZITANIA";1;-;-;1;-;1;-;2;-;-;-;2;7
"353340 NOVA ODESSA";7;12;13;6;9;15;16;12;15;13;12;11;141
"353350 NOVO HORIZONTE";9;9;8;10;10;11;16;5;17;15;8;11;129
"353360 NUPORANGA";-;1;2;-;2;1;2;-;-;1;-;2;11
"353370 OCAUCU";-;-;-;-;-;2;-;-;1;1;-;1;5
"353380 OLEO";-;-;-;-;-;-;1;-;-;1;-;-;2
"353390 OLIMPIA";15;15;20;13;18;23;19;21;17;18;11;17;207
"353400 ONDA VERDE";-;-;2;-;-;1;-;1;1;1;-;-;6
"353410 ORIENTE";1;2;-;3;1;3;-;4;2;2;-;1;19
"353420 ORINDIUVA";-;1;1;1;-;-;-;-;2;-;1;1;7
"353430 ORLANDIA";7;7;11;10;11;15;14;9;9;12;15;20;140
"353440 OSASCO";226;211;213;200;256;257;251;266;219;217;220;253;2789
"353450 OSCAR BRESSANE";1;2;-;-;-;-;1;3;-;-;-;1;8
"353460 OSVALDO CRUZ";19;9;15;15;16;18;12;17;15;10;8;13;167
"353470 OURINHOS";35;44;53;31;58;62;48;57;46;60;50;67;611
"353475 OUROESTE";-;2;1;2;1;2;2;1;2;2;2;3;20
"353480 OURO VERDE";-;2;-;-;-;1;1;1;-;-;2;-;7
"353490 PACAEMBU";4;2;1;1;1;2;1;1;3;1;6;-;23
"353500 PALESTINA";1;2;3;-;1;2;1;1;2;-;1;-;14
"353510 PALMARES PAULISTA";-;-;1;3;-;-;-;-;1;3;1;3;12
"353520 PALMEIRA D'OESTE";-;-;4;2;-;4;3;1;1;4;4;2;25
"353530 PALMITAL";5;2;9;5;8;6;8;8;7;13;7;8;86
"353540 PANORAMA";2;3;7;5;2;4;4;7;5;4;4;1;48
"353550 PARAGUACU PAULISTA";16;20;16;13;16;14;24;28;20;13;16;23;219
"353560 PARAIBUNA";4;3;3;2;1;2;6;3;2;2;1;6;35
"353570 PARAISO";4;-;-;-;-;-;1;2;-;2;1;1;11
"353580 PARANAPANEMA";4;5;2;2;5;4;7;2;4;5;8;5;53
"353590 PARANAPUA";2;-;-;-;-;1;1;1;-;-;-;-;5
"353600 PARAPUA";2;1;4;4;2;3;4;3;3;7;3;2;38
"353610 PARDINHO";-;2;-;1;1;1;2;2;2;-;2;-;13
"353620 PARIQUERA-ACU";43;45;42;51;60;54;71;54;58;52;48;44;622
"353625 PARISI";1;1;-;-;1;1;-;-;-;-;-;-;4
"353630 PATROCINIO PAULISTA";2;3;1;4;3;5;3;4;5;3;4;3;40
"353640 PAULICEIA";1;1;-;-;-;-;1;1;2;-;2;3;11
"353650 PAULINIA";23;13;18;14;21;32;20;26;21;30;19;29;266
"353657 PAULISTANIA";-;-;1;-;-;1;1;1;-;-;1;-;5
"353660 PAULO DE FARIA";-;3;-;-;2;1;2;-;2;2;1;-;13
"353670 PEDERNEIRAS";3;9;6;4;7;12;12;13;5;8;2;8;89
"353680 PEDRA BELA";1;-;1;-;1;4;1;2;-;2;-;-;12
"353690 PEDRANOPOLIS";2;-;-;-;-;-;-;-;1;-;-;-;3
"353700 PEDREGULHO";-;5;5;3;9;6;8;9;5;7;6;5;68
"353710 PEDREIRA";9;13;13;8;10;13;14;15;15;14;12;18;154
"353715 PEDRINHAS PAULISTA";-;-;-;-;2;-;-;-;1;-;-;-;3
"353720 PEDRO DE TOLEDO";-;-;1;5;-;1;2;1;1;-;2;1;14
"353730 PENAPOLIS";26;17;25;32;38;41;42;27;34;27;30;30;369
"353740 PEREIRA BARRETO";14;6;6;10;7;5;10;14;6;3;14;11;106
"353750 PEREIRAS";2;-;-;1;1;1;1;3;2;-;2;3;16
"353760 PERUIBE";23;31;22;16;19;29;24;25;21;15;15;37;277
"353770 PIACATU";1;-;1;-;-;-;-;1;-;-;1;-;4
"353780 PIEDADE";18;9;13;12;18;22;23;26;28;26;18;24;237
"353790 PILAR DO SUL";7;9;9;10;12;6;11;18;9;10;8;8;117
"353800 PINDAMONHANGABA";55;43;56;57;61;70;73;56;62;58;64;72;727
"353810 PINDORAMA";-;3;2;5;7;4;2;2;2;2;3;4;36
"353820 PINHALZINHO";5;4;3;4;4;4;5;2;3;2;5;3;44
"353830 PIQUEROBI";-;-;1;-;-;-;-;-;-;-;-;-;1
"353850 PIQUETE";1;2;1;2;1;3;2;-;1;3;1;3;20
"353860 PIRACAIA";12;5;3;8;7;8;7;6;9;11;4;6;86
"353870 PIRACICABA";113;118;134;138;145;164;160;159;141;126;129;157;1684
"353880 PIRAJU";8;12;12;15;17;14;19;16;18;13;17;13;174
"353890 PIRAJUI";10;10;14;17;12;14;21;15;10;9;10;10;152
"353900 PIRANGI";6;2;2;2;2;2;3;2;2;2;1;1;27
"353910 PIRAPORA DO BOM JESUS";2;1;2;3;3;2;4;2;1;5;1;3;29
"353920 PIRAPOZINHO";4;4;5;6;1;5;6;5;4;7;7;5;59
"353930 PIRASSUNUNGA";27;19;31;30;31;38;36;25;28;23;24;32;344
"353940 PIRATININGA";4;1;3;3;6;-;4;4;3;-;3;4;35
"353950 PITANGUEIRAS";12;11;14;8;11;12;9;12;10;8;9;10;126
"353960 PLANALTO";-;-;-;2;2;-;1;1;1;1;1;2;11
"353970 PLATINA";-;-;-;-;-;-;1;1;1;-;-;1;4
"353980 POA";13;17;13;1;5;12;13;13;4;12;7;6;116
"353990 POLONI";3;1;-;-;-;1;1;-;1;-;-;2;9
"354000 POMPEIA";5;4;4;6;10;11;9;8;7;6;7;5;82
"354010 PONGAI";-;-;1;-;1;-;-;-;1;-;-;-;3
"354020 PONTAL";3;6;6;2;6;7;7;9;6;10;6;8;76
"354025 PONTALINDA";-;-;-;1;2;-;-;-;-;-;1;-;4
"354030 PONTES GESTAL";-;-;3;-;-;-;-;1;-;-;-;1;5
"354040 POPULINA";1;-;1;2;3;1;1;2;3;-;3;-;17
"354050 PORANGABA";5;2;1;2;2;2;6;4;3;2;2;3;34
"354060 PORTO FELIZ";18;9;11;15;26;22;20;15;20;14;14;23;207
"354070 PORTO FERREIRA";25;21;29;20;31;27;28;25;16;16;21;24;283
"354075 POTIM";5;2;-;5;2;5;4;5;-;-;2;-;30
"354080 POTIRENDABA";1;5;1;-;1;6;3;4;5;4;2;1;33
"354085 PRACINHA";-;-;-;-;-;-;-;-;1;-;-;-;1
"354090 PRADOPOLIS";1;2;-;-;2;1;1;2;4;1;3;2;19
"354100 PRAIA GRANDE";147;117;129;142;148;138;117;142;131;114;122;169;1616
"354105 PRATANIA";-;2;-;6;3;1;-;2;-;-;-;-;14
"354120 PRESIDENTE BERNARDES";4;1;2;6;6;7;4;6;6;5;6;9;62
"354130 PRESIDENTE EPITACIO";13;11;15;11;7;14;16;20;12;14;8;14;155
"354140 PRESIDENTE PRUDENTE";161;105;182;139;165;203;194;165;156;140;138;170;1918
"354150 PRESIDENTE VENCESLAU";8;12;15;11;7;11;17;19;16;9;13;25;163
"354160 PROMISSAO";9;13;24;12;5;12;21;15;17;18;13;9;168
"354165 QUADRA";-;-;-;-;-;-;1;-;-;-;1;1;3
"354170 QUATA";1;-;3;3;1;1;3;1;1;2;2;3;21
"354180 QUEIROZ";-;-;-;-;-;-;-;-;-;-;1;-;1
"354190 QUELUZ";4;3;4;3;2;7;-;-;5;4;2;2;36
"354200 QUINTANA";-;-;2;-;1;-;-;1;-;2;1;-;7
"354210 RAFARD";-;-;-;1;1;1;1;-;-;-;1;-;5
"354220 RANCHARIA";17;17;18;21;22;15;21;18;18;26;10;17;220
"354230 REDENCAO DA SERRA";-;-;1;-;-;-;-;-;1;1;-;-;3
"354240 REGENTE FEIJO";3;2;6;5;3;4;7;3;6;3;5;8;55
"354250 REGINOPOLIS";2;2;2;-;-;-;-;3;3;1;1;2;16
"354260 REGISTRO";15;11;31;26;22;33;21;30;23;23;22;26;283
"354270 RESTINGA";1;2;1;-;1;-;-;1;1;1;2;1;11
"354280 RIBEIRA";-;1;1;-;1;-;-;-;3;1;-;-;7
"354290 RIBEIRAO BONITO";1;2;3;3;1;2;1;7;3;3;6;4;36
"354300 RIBEIRAO BRANCO";6;4;2;3;4;4;5;4;10;9;7;2;60
"354310 RIBEIRAO CORRENTE";-;1;-;-;-;-;-;1;-;1;2;-;5
"354320 RIBEIRAO DO SUL";-;1;-;-;-;1;1;-;2;-;1;2;8
"354323 RIBEIRAO DOS INDIOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"354325 RIBEIRAO GRANDE";1;-;3;-;-;2;1;2;-;2;2;3;16
"354330 RIBEIRAO PIRES";25;29;16;32;25;31;27;36;24;32;31;35;343
"354340 RIBEIRAO PRETO";297;273;306;293;313;386;396;361;315;298;319;334;3891
"354350 RIVERSUL";1;1;2;-;1;2;4;3;1;2;3;1;21
"354360 RIFAINA";3;1;-;-;-;1;-;1;3;1;-;2;12
"354370 RINCAO";3;-;-;2;1;2;2;1;1;4;1;1;18
"354380 RINOPOLIS";1;4;4;-;2;2;9;6;1;3;1;4;37
"354390 RIO CLARO";71;69;82;81;80;96;75;88;63;98;95;96;994
"354400 RIO DAS PEDRAS";6;4;4;1;7;4;9;3;6;3;6;6;59
"354410 RIO GRANDE DA SERRA";6;3;5;10;6;3;8;6;6;10;6;5;74
"354420 RIOLANDIA";3;-;1;-;2;1;3;-;1;-;2;3;16
"354425 ROSANA";5;3;12;8;13;15;14;9;10;12;3;1;105
"354430 ROSEIRA";-;1;2;1;-;-;3;3;1;-;-;1;12
"354440 RUBIACEA";-;-;1;1;-;-;-;-;-;-;-;-;2
"354450 RUBINEIA";-;-;1;-;-;-;-;-;-;1;-;1;3
"354460 SABINO";-;3;2;2;2;1;1;3;2;2;-;1;19
"354470 SAGRES";-;2;-;2;-;-;1;-;-;-;1;-;6
"354480 SALES";2;1;3;3;2;-;2;5;3;4;1;3;29
"354490 SALES OLIVEIRA";1;1;2;4;2;1;2;2;4;2;4;4;29
"354500 SALESOPOLIS";3;4;2;2;4;2;4;3;1;4;5;2;36
"354510 SALMOURAO";-;-;-;-;-;-;1;-;-;1;1;-;3
"354515 SALTINHO";-;1;3;-;-;-;5;2;1;-;-;1;13
"354520 SALTO";27;35;32;39;41;51;30;38;38;35;29;49;444
"354530 SALTO DE PIRAPORA";11;10;13;12;16;25;18;18;10;10;15;12;170
"354540 SALTO GRANDE";4;1;1;-;3;3;8;3;2;2;3;8;38
"354550 SANDOVALINA";-;-;-;-;-;-;-;1;-;-;1;1;3
"354560 SANTA ADELIA";1;2;1;-;1;4;1;2;3;-;2;1;18
"354570 SANTA ALBERTINA";1;-;-;1;1;2;-;2;-;-;1;-;8
"354580 SANTA BARBARA D'OESTE";52;35;43;42;48;57;70;66;59;62;51;68;653
"354600 SANTA BRANCA";-;-;2;1;2;-;1;1;1;-;2;-;10
"354610 SANTA CLARA D'OESTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"354620 SANTA CRUZ DA CONCEICAO";-;-;1;-;-;-;1;-;-;1;1;-;4
"354625 SANTA CRUZ DA ESPERANCA";-;-;-;-;-;-;-;-;-;1;-;1;2
"354630 SANTA CRUZ DAS PALMEIRAS";7;11;5;12;5;14;9;13;9;7;9;7;108
"354640 SANTA CRUZ DO RIO PARDO";20;11;16;6;18;17;30;15;18;15;18;18;202
"354650 SANTA ERNESTINA";-;-;1;2;1;1;-;-;1;1;1;-;8
"354660 SANTA FE DO SUL";17;12;16;23;21;14;14;25;24;17;19;25;227
"354670 SANTA GERTRUDES";6;2;1;1;3;5;5;4;-;1;3;1;32
"354680 SANTA ISABEL";21;24;17;18;20;22;37;33;20;17;16;25;270
"354690 SANTA LUCIA";1;-;-;-;-;1;1;2;2;-;1;1;9
"354700 SANTA MARIA DA SERRA";3;-;2;-;1;3;-;3;-;1;-;1;14
"354710 SANTA MERCEDES";1;-;1;4;-;-;-;-;-;-;1;1;8
"354720 SANTANA DA PONTE PENSA";1;1;-;1;-;-;1;-;-;-;-;-;4
"354730 SANTANA DE PARNAIBA";17;15;19;22;34;24;20;21;20;30;19;16;257
"354750 SANTA RITA DO PASSA QUATRO";9;6;9;4;10;9;12;3;10;5;8;3;88
"354760 SANTA ROSA DE VITERBO";5;4;4;4;6;5;6;3;3;5;3;7;55
"354765 SANTA SALETE";-;-;-;-;-;-;1;-;1;-;-;1;3
"354770 SANTO ANASTACIO";9;4;4;4;10;3;11;6;8;4;5;8;76
"354780 SANTO ANDRE";291;226;305;284;343;360;366;361;336;339;305;361;3877
"354790 SANTO ANTONIO DA ALEGRIA";-;1;2;1;3;2;2;5;2;3;1;1;23
"354800 SANTO ANTONIO DE POSSE";6;1;5;3;5;4;3;4;8;3;10;3;55
"354805 SANTO ANTONIO DO ARACANGUA";3;1;1;1;2;-;2;2;3;-;1;3;19
"354810 SANTO ANTONIO DO JARDIM";-;3;-;1;-;1;2;1;3;1;1;-;13
"354820 SANTO ANTONIO DO PINHAL";-;-;-;-;1;2;1;1;1;1;-;1;8
"354830 SANTO EXPEDITO";1;-;1;-;-;1;-;1;-;-;-;-;4
"354840 SANTOPOLIS DO AGUAPEI";1;-;2;-;-;-;1;-;-;-;-;-;4
"354850 SANTOS";302;243;266;296;341;321;333;288;335;304;338;317;3684
"354860 SAO BENTO DO SAPUCAI";3;5;9;6;5;6;10;4;8;5;3;5;69
"354870 SAO BERNARDO DO CAMPO";224;196;218;268;323;318;278;258;251;226;239;261;3060
"354880 SAO CAETANO DO SUL";67;55;77;69;68;73;74;64;68;66;74;75;830
"354890 SAO CARLOS";96;79;78;87;83;124;113;111;82;82;79;67;1081
"354900 SAO FRANCISCO";-;1;-;-;-;-;-;-;-;1;1;-;3
"354910 SAO JOAO DA BOA VISTA";36;52;70;46;52;78;67;71;50;57;67;58;704
"354920 SAO JOAO DAS DUAS PONTES";-;-;-;2;-;1;-;-;-;-;2;-;5
"354925 SAO JOAO DE IRACEMA";-;-;-;-;-;-;-;1;-;-;-;-;1
"354930 SAO JOAO DO PAU D'ALHO";-;1;-;-;1;-;-;-;-;-;-;1;3
"354940 SAO JOAQUIM DA BARRA";20;17;18;17;22;26;31;17;24;25;26;13;256
"354950 SAO JOSE DA BELA VISTA";1;-;-;-;-;3;1;2;1;2;2;1;13
"354960 SAO JOSE DO BARREIRO";4;-;1;1;1;-;-;1;-;-;-;1;9
"354970 SAO JOSE DO RIO PARDO";25;23;36;33;32;27;27;30;21;28;25;34;341
"354980 SAO JOSE DO RIO PRETO";327;263;305;329;354;338;363;376;327;303;317;301;3903
"354990 SAO JOSE DOS CAMPOS";223;194;203;216;227;261;269;264;233;215;255;242;2802
"354995 SAO LOURENCO DA SERRA";5;3;2;2;2;2;-;5;1;6;5;3;36
"355000 SAO LUIS DO PARAITINGA";2;1;1;3;4;2;4;1;2;3;2;-;25
"355010 SAO MANUEL";16;13;16;17;12;17;9;16;16;14;9;14;169
"355020 SAO MIGUEL ARCANJO";5;6;9;5;4;7;5;6;3;4;5;5;64
"355030 SAO PAULO";4102;3659;4249;4183;4775;5039;4866;4906;4422;4364;4317;4485;53367
"355040 SAO PEDRO";6;7;6;6;3;10;8;4;5;10;13;9;87
"355050 SAO PEDRO DO TURVO";-;1;-;2;1;-;1;-;-;-;2;-;7
"355060 SAO ROQUE";21;25;15;23;37;37;29;37;31;25;27;26;333
"355070 SAO SEBASTIAO";32;14;18;19;20;31;18;18;16;19;21;27;253
"355080 SAO SEBASTIAO DA GRAMA";5;3;7;2;2;1;5;5;3;2;2;7;44
"355090 SAO SIMAO";4;5;8;4;6;6;9;8;2;4;7;2;65
"355100 SAO VICENTE";108;83;110;114;101;108;104;117;91;113;116;120;1285
"355110 SARAPUI";-;-;1;3;1;-;4;1;1;-;1;-;12
"355120 SARUTAIA";-;-;-;-;-;-;-;-;2;1;1;2;6
"355130 SEBASTIANOPOLIS DO SUL";1;-;2;1;1;-;-;1;1;1;-;-;8
"355140 SERRA AZUL";1;1;3;1;2;3;2;2;3;-;3;2;23
"355150 SERRANA";7;6;6;4;5;9;11;6;6;9;3;11;83
"355160 SERRA NEGRA";13;16;12;12;11;13;12;9;10;5;5;9;127
"355170 SERTAOZINHO";50;41;47;51;41;72;59;53;47;39;47;46;593
"355180 SETE BARRAS";1;1;5;-;1;1;3;2;3;4;-;3;24
"355190 SEVERINIA";2;2;3;3;3;4;-;1;3;2;5;4;32
"355200 SILVEIRAS";1;-;1;-;-;-;-;-;-;1;1;-;4
"355210 SOCORRO";18;16;15;8;19;16;18;22;14;12;14;14;186
"355220 SOROCABA";278;236;299;292;314;332;356;293;279;287;275;309;3550
"355230 SUD MENNUCCI";-;1;1;1;-;1;3;1;1;2;3;3;17
"355240 SUMARE";73;62;67;68;79;89;83;90;73;61;86;78;909
"355250 SUZANO";69;63;44;67;63;80;74;57;66;59;74;79;795
"355255 SUZANAPOLIS";1;-;-;-;-;-;-;-;-;-;-;1;2
"355260 TABAPUA";1;-;2;3;1;2;1;2;2;5;5;2;26
"355270 TABATINGA";1;2;4;7;4;4;9;4;-;5;3;3;46
"355280 TABOAO DA SERRA";100;77;112;107;92;121;125;103;99;93;91;104;1224
"355290 TACIBA";1;-;-;-;-;2;4;-;-;1;1;-;9
"355300 TAGUAI";1;-;4;4;3;6;5;3;1;-;5;1;33
"355310 TAIACU";1;1;1;1;-;-;2;-;1;-;-;-;7
"355320 TAIUVA";-;-;-;2;-;-;-;-;-;2;2;1;7
"355330 TAMBAU";4;2;6;4;11;10;6;6;4;3;8;3;67
"355340 TANABI";8;6;6;8;3;6;6;9;9;8;6;11;86
"355350 TAPIRAI";5;1;-;3;2;-;1;2;1;1;3;-;19
"355360 TAPIRATIBA";1;1;3;3;7;5;4;4;1;4;6;4;43
"355365 TAQUARAL";1;1;1;-;-;1;-;-;1;-;-;1;6
"355370 TAQUARITINGA";24;16;25;14;26;34;21;24;28;24;26;23;285
"355380 TAQUARITUBA";8;4;14;10;4;14;8;15;8;6;12;8;111
"355385 TAQUARIVAI";-;1;-;1;-;2;-;-;-;2;-;1;7
"355390 TARABAI";-;-;-;1;-;-;1;-;-;1;-;-;3
"355395 TARUMA";-;1;4;3;1;6;1;2;2;1;-;5;26
"355400 TATUI";46;41;43;47;39;56;64;46;36;35;41;41;535
"355410 TAUBATE";114;115;130;127;130;150;167;165;124;114;115;135;1586
"355420 TEJUPA";1;1;-;-;-;-;-;-;-;1;-;-;3
"355430 TEODORO SAMPAIO";4;6;4;11;4;5;2;4;7;8;2;4;61
"355440 TERRA ROXA";-;3;1;-;-;1;3;2;3;2;-;3;18
"355450 TIETE";8;7;9;8;15;13;10;14;10;12;9;10;125
"355460 TIMBURI";-;1;-;-;-;2;-;-;-;-;-;-;3
"355465 TORRE DE PEDRA";-;1;1;-;-;-;1;-;-;-;-;-;3
"355470 TORRINHA";-;3;4;1;1;3;3;1;3;5;1;2;27
"355480 TREMEMBE";7;7;5;9;12;13;9;9;9;7;5;8;100
"355490 TRES FRONTEIRAS";-;1;1;-;3;-;-;-;1;-;-;-;6
"355495 TUIUTI";1;-;-;2;3;1;-;1;-;-;2;2;12
"355500 TUPA";35;30;32;36;44;50;56;49;43;38;50;53;516
"355510 TUPI PAULISTA";7;8;4;8;10;13;12;8;10;7;3;15;105
"355520 TURIUBA";-;1;-;-;-;-;1;-;-;-;-;-;2
"355530 TURMALINA";-;-;-;-;-;-;-;-;-;1;-;-;1
"355535 UBARANA";2;-;1;-;-;-;-;-;1;1;-;-;5
"355540 UBATUBA";26;15;18;29;23;18;29;21;20;20;22;19;260
"355550 UBIRAJARA";-;-;1;1;1;1;-;-;1;2;-;1;8
"355560 UCHOA";1;2;-;2;-;-;3;1;1;-;1;3;14
"355570 UNIAO PAULISTA";1;-;-;-;-;-;-;1;-;-;-;-;2
"355580 URANIA";3;3;2;3;2;1;-;2;-;-;1;1;18
"355590 URU";-;-;1;-;-;-;-;-;-;-;-;-;1
"355600 URUPES";3;8;3;3;4;7;4;4;3;5;4;3;51
"355610 VALENTIM GENTIL";1;3;2;4;1;1;1;-;2;1;1;-;17
"355620 VALINHOS";44;51;57;52;58;58;57;55;43;57;51;46;629
"355630 VALPARAISO";5;5;7;3;2;6;6;2;6;1;2;6;51
"355635 VARGEM";2;1;-;1;1;1;-;1;2;1;3;-;13
"355640 VARGEM GRANDE DO SUL";12;15;17;15;8;16;17;20;10;8;17;18;173
"355645 VARGEM GRANDE PAULISTA";8;4;7;12;11;7;6;5;5;6;7;6;84
"355650 VARZEA PAULISTA";24;13;24;23;33;24;23;16;19;19;16;23;257
"355660 VERA CRUZ";4;-;2;2;1;-;-;1;-;-;2;-;12
"355670 VINHEDO";17;15;15;16;13;19;26;25;16;17;17;21;217
"355680 VIRADOURO";5;1;4;2;4;8;6;5;8;5;5;5;58
"355690 VISTA ALEGRE DO ALTO";1;1;1;2;2;1;1;3;2;1;2;1;18
"355695 VITORIA BRASIL";-;-;-;-;-;1;-;-;-;-;-;-;1
"355700 VOTORANTIM";26;19;27;32;45;41;29;34;33;34;28;48;396
"355710 VOTUPORANGA";58;39;58;59;57;53;71;62;61;50;64;52;684
"355715 ZACARIAS";-;-;-;-;-;-;-;-;-;1;-;-;1
"355720 CHAVANTES";2;6;4;2;4;5;4;4;3;2;4;3;43
"355730 ESTIVA GERBI";-;-;-;2;-;2;3;-;-;-;-;2;9
"Total";15162;13252;15444;15115;16828;18382;18245;17625;15979;15683;15375;16508;193598
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
