 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"355610 VALENTIM GENTIL";-;1;-;1;1;-;2;-;3;-;-;1;9
"355620 VALINHOS";37;30;35;44;34;48;61;38;34;52;34;43;490
"355630 VALPARAISO";1;2;3;4;2;5;5;7;5;1;4;3;42
"355635 VARGEM";2;1;2;3;3;1;-;1;4;6;1;2;26
"355640 VARGEM GRANDE DO SUL";10;10;10;5;11;19;11;7;12;15;14;12;136
"355645 VARGEM GRANDE PAULISTA";5;6;3;7;6;4;8;7;5;3;3;4;61
"355650 VARZEA PAULISTA";19;20;15;14;19;19;15;21;26;16;14;16;214
"355660 VERA CRUZ";-;3;4;2;4;1;5;3;5;2;3;2;34
"355670 VINHEDO";13;14;16;19;12;21;17;21;19;14;11;12;189
"355680 VIRADOURO";3;3;4;2;3;4;5;4;2;5;4;1;40
"355690 VISTA ALEGRE DO ALTO";-;1;2;1;1;1;-;-;-;-;1;1;8
"355695 VITORIA BRASIL";-;-;1;-;-;-;-;-;-;-;-;-;1
"355700 VOTORANTIM";32;33;27;31;32;43;31;35;30;32;29;33;388
"355710 VOTUPORANGA";42;62;53;62;53;60;61;54;57;55;60;53;672
"355715 ZACARIAS";-;-;-;-;1;-;1;-;-;-;-;-;2
"355720 CHAVANTES";1;4;5;1;2;2;3;-;3;2;2;6;31
"355730 ESTIVA GERBI";-;-;-;-;1;1;-;2;-;1;1;-;6
"Total";13448;13526;13864;13540;15802;16386;17926;15603;15414;15329;13848;15157;179843
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
